bay,bay area
sfba,bay area
ala,alameda
cc,contra costa
mrn,marin
nap,napa
sf,san francisco
san fran,san francisco
sf,san francisco
san franc,san francisco
san franciscoca,san francisco
san francis,san francisco
san fransis,san francisco
frisco,san francisco
sfc,san francisco
s.f.,san francisco
sm,san mateo
scl,santa clara
sol,solano
son,sonoma
ssu,sonoma
napa junction,american canyon
oakere,oakland
oakf,oakland
oakg,oakland
oakj,oakland
oakl,oakland
oakn,oakland
oakoc,oakland
oakr,oakland
oaks,oakland
ocl,oakley
pa,palo alto
sj,san jose
santa monic,santa monica
santa monic,santa monica
santa moni,santa monica
santa mon,santa monica
boss,boston
bossi,boston
bcg,boston
ny,new york